ألدوس هكسلي,الشخص الذي تسيطر عليه مشاعر الخوف والقلق يصبح دوره في الحياة سلبي.,حكم و أقوال عن الحياة 
تولستوي,الشخص الذي لديه فكرة خاطئة عن الحياة ستكون لديه دوماً فكرة خاطئة عن الموت.,حكم و أقوال عن الحياة 
حكمة عربية,"الشريف إذا ارتفع تواضع، والوضيع إذا ارتفع تكبر",حكم و أقوال عن الوضيع 
لاروشفوكو,الشكر لدى بعض الناس ليس إلا رغبة مبطنة في الحصول على خيرات أكثر,حكم و أقوال عن الناس 
أنطون تشيخوف,الشمس لا تشرق فى اليوم مرتين..والحياة لا تعطى مرتين..فلتتشبث بقوة ببقايا حياتك ولتنقذها!,حكم و أقوال عن الحياة 
بنسالم حميش,الشمس لا تقدر على رؤيتها الا و أنت تشيعها إلى مثواها فى البحرأو خلف المرتفعاتوكذلك شأن الحياة,حكم و أقوال عن الحياة 
مثل حبشي,الشهرة حياة الرجل الثانية.,حكم و أقوال عن الحياة 
أوسكار وايلد,الشيء الأسوأ من أن يتكلم عنك الناس هو أن لا يتكلموا عنك.,حكم و أقوال عن الناس 
هيراقليطس,الشئ الوحيد الثابت في الحياة هو التغيير المستمر,حكم و أقوال عن الحياة 
أروى خميّس,الصداقة باختصار هي إحدى إنجازاتنا الشخصية في هذه الحياة ..,حكم و أقوال عن الحياة 
دان براون,الصدفة امر اقل شيوعا بكثيرمما يتصور اغلب الناس,حكم و أقوال عن الناس 
غابرييل غارسيا ماركيز,"الصدق والصراحة ، قد لا تكسبك الكثير من الناس ، لكن ستوفر لك أفضلهم رغم قلتهم.",حكم و أقوال عن الناس 
خوسيه ساراماغو,الصعوبة لاتكمن في معايشة الناس إنما في فهمهم .,حكم و أقوال عن الناس 
توماس بين,"الصيت هو ما يعرفه الناس عنّا ، أمّا الخُلُق فما يعرفه إلاّ الله",حكم و أقوال عن الناس 
عبد الرحمن منيف,الضجر أكذوبة اختلقها الوجوديون والناس المترفون,حكم و أقوال عن الناس 
سلمان العودة,الضجيج لا يصنع شيئا ! فقط يشعرك بأن الناس يعملون.,حكم و أقوال عن الناس 
توماس فولر,الضعفاء و الجبناء هم أكثر الناس عنداً وقسوة.,حكم و أقوال عن الناس 
محمد المنسي قنديل,الطب مهنة غريبة وتقترب من السحرولكنها بالغة القدموتتعامل علي الاقل مع أسرار الحياة والموت.,حكم و أقوال عن الحياة 
لاري كينج,الطريقة المثلى للتخلص من الشعور بالخجل هي ان تتذكر بأن الناس جميعاً سواسية,حكم و أقوال عن الناس 
بهاء طاهر,الطموح؟ لا افهم حتى لماذا يطمح الناس ؟,حكم و أقوال عن الناس 
أحلام مستغانمي,الطهي على عجل يفقد الطعام نكهته . . ككل متع الحياة,حكم و أقوال عن الحياة 
عبده خال,الطيبين أكله شهية لمن أدمن إيذاء الناس.,حكم و أقوال عن الناس 
إبراهيم نصر الله,الطيور لا يكفي غناؤها لبعث الفرح في تلك الحياة الجرداء للبشر,حكم و أقوال عن الحياة 
عبد الرحمن منيف,"العادات أساس الحياة، لأن الحياة هي العادة المكررة",حكم و أقوال عن الحياة 
اجاثا كريستي,"العادة شيء عجيب ، لا يعرف الناس أنهم يملكونه.",حكم و أقوال عن الناس 
آرثر شوبنهاور,العالم كارادة ووهم. نخسر ثلاثة أرباع انفسنا لكي نكون مثل الناس الاخرين.,حكم و أقوال عن الناس 
توماس بين,العالم وطني والناس أجمعون هم إخوتي وفعل الخير هو ديني.,حكم و أقوال عن الناس 
منذر القباني,"العالم يتغيّر، لم يعد كما كان. ولكن أكثر الناس لا يدركون",حكم و أقوال عن الناس 
ابراهام لنكولن,"العبرة ليست في السنوات التي عشتها ، بل في نبض الحياة في تلك السنوات",حكم و أقوال عن الحياة 
عباس محمود العقاد,العجز عن الاجتهاد والعجز عن الحياة مقترنان,حكم و أقوال عن الحياة 
أنتوني روبنز,"العديد من الناس يشترون الكتب ، لكنهم لا يتعدون قراءة الفصل الاول",حكم و أقوال عن الناس 
توماس أديسون,العديد من حالات الفشل في الحياة هم الناس الذين لم يدركوا مدى قربهم من  النجاح عندما تخلو .,حكم و أقوال عن الحياة 
تشي جيفارا,"العزة تكمن في العزلة ، ولكن لا بد للناس من الناس.",حكم و أقوال عن الناس 
نهى محمد,العزلة احد الحلول للهروب من الحياة لكن اكتمالها وهم,حكم و أقوال عن الحياة 
أحمد بن عجيبة,العزلة عن الناس عزلة الضعفاءالعزلة بين الناس عزلة الأقوياء.,حكم و أقوال عن الناس 
المهاتما غاندي,"العظمة في هذه الحياة ليست في التعثر، ولكن في القيام بعد كل مرة نتعثر فيها",حكم و أقوال عن الحياة 
عبد الرحمن منيف,الغريب أن الموت يعيد صياغة البشر ويجعلهم أكثر إحساسا بالحياة,حكم و أقوال عن الحياة 
عبده خال,الغريب أن الناس يعاتبون الإنسان على قبحه .. الجمال في نظر هؤلاء الحمقى هو التناسق الخارجي .,حكم و أقوال عن الناس 
علي الوردي,الغلبة هي رمز البقاء في معركة الحياة.,حكم و أقوال عن الحياة 
